gender,vertical,fabric_category,brand,usage,brick,product,sub_product,target_audience,fit,standard_size,barcode_size,garment_waist,inseam_length,to_fit_waist,across_shoulder,chest,front_length,to_fit_foot_length,outseam length,sleeve_length,outseam_length,Sleeve length,full_sleeve_length,half_sleeve_length,long_sleeve_length,short_sleeve_length,quarter_sleeve_length,to__waist,to__foot_length
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Cargo,Cargo,Plus Size,Plus Fit,38,38/96cm,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Cargo,Cargo,Plus Size,Plus Fit,40,40/1.01m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Cargo,Cargo,Plus Size,Plus Fit,42,42/1.06m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Cargo,Cargo,Plus Size,Plus Fit,44,44/1.11m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Cargo,Cargo,Plus Size,Plus Fit,46,46/1.16m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Plus Fit,38,38/96cm,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Plus Fit,40,40/1.01m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Plus Fit,42,42/1.06m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Plus Fit,44,44/1.11m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Plus Fit,46,46/1.16m,,,,,,,,,,,,,,,,,,
Men,Apparel,Knitted,Hardsoda,Athleisure,Bottomwear,Chinos,Chinos,Plus Size,Slim,38,38/96cm,39.5,30.0,38.0,,,,,,,,,,,,,,,
