story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,dress_type,top_style_type,jacket_type,distress,fade,dungaree_bottom_type,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,colour_intensity,color_family
90'S Grunge,AW23,Acai,Ajio,Convertible,Abstract,1,-1.0,Cargo Pocket,Asymmetric,Baseball Collar,Asymmetric Placket,Above Knee,Full Sleeves,3/4 sleeves,Asymmetric,High-Rise,High-Top,Buckle,A-line,Asymmetric,Biker/Riding Jacket,Clean Look,Clean Look,Ankle Length Skirt,Cotton Mesh,Corduroy,Basket,Dry Clean,Canvas,Addy,100% Acrylic,2/1CL_850_DEEP INDIGO,Dark,Beige
Aged Appeal,AW24,Acero,Amazon,Cut N Sew,Animal,2,0.0,Chisel Pocket,Boat Neck,Bertha Collar,Broad Placket,Ankle,Half Sleeves,Adjustable Straps,Cuffed,Low-Rise,Mid-Top,Button,Asymmetric,Bardot Top,Bolero Jacket,High Distress,Heavy Fade,Knee Length Skirt,EVA,Crochet,Brocade,Hand Wash,Flyknit,Airmax,100% Cotton,2/1CPL_1025_BLACK BY BLACK,Light,Black
Animation,AW25,Adriatic Sea,Flipkart,Draped,Anime,2N / 1 Pair,1.0,Cross Pocket,Cowl Neck,Bib Collar,Concealed Placket,Below Knee,Long Sleeves,Balloon sleeves,Curved,Mid-Rise,Regular,Button / Zip,Balloon/Bubble,Blouson Top,Bomber Jacket,Knee Slit,Light Fade,Pant,Rubber,Crushed Nylon,Cable Knit,Machine Wash,Mesh,EVA,100% Nylon,2/1CPL_1025_DARK IBST,Medium,Blue
Anime,SS23,Air Blue,Myntra,Elasticated,Applique,3,2.0,Flap Pocket,Crew Neck,Buttondown Collar,Cut & Sew Placket,Calf Length,Quarter Sleeves,Batwing sleeves,Drawstring Hem,,,Drawstring,Bandage,Bodysuit,Cape Jacket,Mild Distress,,Shorts,TAXAN 1.5 MM,Denim,Crepe,,Oily Burnish,NP-21508,100% Polyester,2/1CPL_1025_DARK INDIGO,,Brown
Art Museum,SS24,Airforce Blue,Regular,Fringes,Argyle,Pack of 2,3.0,Flap Welt Pocket,Cross Over,Cascade Collar,Half Placket,Cropped,Short Sleeves,Bell sleeves,Elasticated,,,Elasticated,Blouson,Boxy Top,Casual Jacket,Raw Edges/Fringed Hem,,,,Elasticated,Crochet,,PU,PVC,100% Rayon,2/1CPL_1025_DEEP INDIGO,,Cream
Artistic Twist,SS25,Aligers Blue,Store,Gathered,Art Deco,,4.0,Kangaroo Pocket,Gathered,Chelsea collar,Long placket,Knee,Sleeveless,Bishop sleeves,Elasticated Cuff,,,Elasticated/Belt,Bodycon,Boyfriend,Denim Jacket,,,,,Embroided,Cross Hatch,,PU Mesh,TPR,100% Viscose,2/1CPL_1025_ECRU,,Gold
Artsinal Touch,,Almond,Tigc.in,Knotted,Aztec,,5.0,Mock Pocket,Halter Neck,Collarless,Loop Placket,Long,,Butterfly Sleeves,Folded,,,Elasticated/Button/Tie-up,Cinched Waist,Boyfriend Top,Ethnic Jacket,,,,,Fancy Yarn,Diagonal Ottoman,,PU Perforated,,50% Rayon 50% Tencel,2/1CPL_1025_MULTICOUNT DEEP INDIGO,,Green
Astro Fades,,Almond Cream,,Parachute,Badges,,,Patch Pocket,Henley,Convertible Collar,No placket,Longline,,Cap sleeves,Handkerchief,,,Elasticated/Button/Zip,Drop Waist,Bralette Top,Fleece Jacket,,,,,Flatback Interlock,Dobby,,PVC,,97% Polyester 3% Spandex,2/1CPL_1050_DEEP INDIGO BY BLACK,,Grey
Athletic Panelling,,Alphine Green,,Pin Tucks,Baroque,,,Round Pocket,High Neck,Cuban Collar,Regular Placket,Maxi,,Cape sleeves,Lettuce,,,Elasticated/Button/Zip/Drawstring,Empire Waist,Cami Top,Hiking and Trekking Jacket,,,,,Fleece,Double cloth,,Suede,,Cotton Blend,2/1CPL_1050_GREY BY WHITE,,Khaki
Back To Oceans,,Amberglow,,Plain,Bengal Stripes,,,Scoop Pocket,Hooded,Cutaway Collar,Self Fold Placket,Mid Thigh,,Cold-shouldered sleeves,Raw Edge,,,Elasticated/Drawstring,Ethnic Dress,Cape Top,Kimono Jacket,,,,,Jacquard,Fil-a-fil,,Walker,,Cotton Elastane,2/1CPL_925_DARK INDIGO,,Magenta
Black & White,,Amethyst Orchid,,Pleated,Buffalo Checks,,,Side Pocket,Key hole Neck,Detachable Hood,Wide Placket,Midi,,Criss Cross Sleeves,Ribbed,,,Elasticated/Tie-up,Fit and Flare,Cinched Waist Top,Leather Jacket,,,,,Lace,Heathred,,,,Cotton Flex,2/1CP_950_DARK IBST,,Maroon
Bohemian,,Angel Falls,,Plisse,Camouflage,,,Utility Pocket,Off Shoulder ,Frill,Zipper Flap Placket,Mini,,Cuff,Rounded,,,Elasticated/Zipper/Button,Gathered,Crop Top,Nehru Jacket,,,,,Melange,Herringbone,,,,Cotton Linen Flex,2/1CTN_9_ INDIGO,,Mauve
Boudoir Dressing,,Antarctica,,Quilted,Cartoon,,,V Pocket,One Shoulder,High Neck Collar,Zipper Placket,Regular,,Cuff with Rib,Ruffled,,,Eyelet,Gown,Designer Back Top,Padded Jacket,,,,,Nylon,Houndstooth,,,,Cotton Lycocell,2/1RGD_1025_INDIGO,,Melange
